#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     2.71727     2.71727           0
           2     2.21273       2.465    0.178384
           3     2.06223     2.33075    0.161737
           4     2.02407     2.25408    0.138285
           5     2.01478     2.20622    0.118621
           6     1.97572      2.1678    0.104887
           7     1.97419     2.14014   0.0934792
           8     1.94734     2.11604   0.0848441
           9     1.98422      2.1014   0.0766709
          10     1.98586     2.08984   0.0698689
          11     1.96079     2.07811   0.0644946
          12     1.95396     2.06776   0.0599441
          13     2.02108     2.06417   0.0554405
          14     1.98679     2.05865   0.0517553
          15     1.98281     2.05359   0.0485513
          16     1.96991     2.04836   0.0457976
          17     1.94272     2.04215   0.0435232
          18     1.90786     2.03469   0.0417397
          19     1.89772     2.02748   0.0401606
          20     1.95606     2.02391   0.0383109
          21     1.93105     2.01948   0.0367409
          22     1.96149     2.01685   0.0351653
          23     1.98861     2.01562   0.0336578
          24     1.96856     2.01366   0.0323124
          25     1.98076     2.01234   0.0310467
          26     1.96087     2.01036   0.0299157
          27     1.99861     2.00993   0.0288109
          28     1.99857     2.00952   0.0277848
          29      1.9537      2.0076   0.0268933
          30     1.97927     2.00665   0.0260134
