#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     1.81152     1.81152           0
           2     1.47515     1.64333    0.118923
           3     1.37482     1.55383    0.107825
           4     1.34938     1.50272   0.0921902
           5     1.34319     1.47081   0.0790808
           6     1.31715      1.4452   0.0699249
           7     1.31613     1.42676   0.0623195
           8     1.29823      1.4107   0.0565628
           9     1.32281     1.40093   0.0511139
          10     1.32391     1.39323   0.0465793
          11     1.30719     1.38541   0.0429964
          12     1.30264     1.37851   0.0399628
          13     1.34738     1.37612   0.0369604
          14     1.32453     1.37243   0.0345035
          15     1.32187     1.36906   0.0323675
          16     1.31328     1.36557   0.0305318
          17     1.29514     1.36143   0.0290155
          18     1.27191     1.35646   0.0278265
          19     1.26515     1.35165   0.0267737
          20     1.30404     1.34927   0.0255406
